,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,91
1,2013,7,2652
2,2013,8,4396
3,2013,9,4807
4,2013,10,4245
5,2013,11,2415
6,2013,12,1445
7,2014,1,811
8,2014,2,900
9,2014,3,1811
10,2014,4,1808
11,2014,5,3044
12,2014,6,3909
13,2014,7,4642
14,2014,8,5596
15,2014,9,4848
16,2014,10,5230
17,2014,11,2836
18,2014,12,2385
19,2015,1,1533
20,2015,2,792
21,2015,3,2653
22,2015,4,3707
23,2015,5,4508
24,2015,6,4757
25,2015,7,5176
26,2015,8,5044
27,2015,9,4803
28,2015,10,4723
29,2015,11,3637
30,2015,12,2547
31,2016,1,2212
32,2016,2,2626
33,2016,3,3942
34,2016,4,4212
35,2016,5,5206
36,2016,6,7052
