,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,9,21.0967145791
1,2013,10,15.2308647799
2,2013,11,9.88835555556
3,2013,12,12.5167091837
4,2014,1,10.7355603448
5,2014,2,8.92777777778
6,2014,3,12.7623175715
7,2014,4,13.7678778703
8,2014,5,15.8075657337
9,2014,6,18.5796185202
10,2014,7,14.7498632198
11,2014,8,15.9049121406
12,2014,9,13.2422112062
13,2014,10,10.9837134854
14,2014,11,8.92122871046
15,2014,12,9.16953379953
16,2015,1,8.69738095238
17,2015,2,8.493069874
18,2015,3,10.8620725389
19,2015,4,12.9168003565
20,2015,5,16.1847926267
21,2015,6,16.8221668112
22,2015,7,18.7388664178
23,2015,8,16.3493068885
24,2015,9,15.0184537535
25,2015,10,13.8384219858
26,2015,11,10.6330362727
27,2015,12,8.62787427626
28,2016,1,9.20202185792
29,2016,2,12.611249352
30,2016,3,11.0939987265
31,2016,4,13.919001004
32,2016,5,17.0723536835
33,2016,6,17.1790461885
