,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,9,487
1,2013,10,1060
2,2013,11,750
3,2013,12,392
4,2014,1,232
5,2014,2,186
6,2014,3,571
7,2014,4,1321
8,2014,5,1965
9,2014,6,2167
10,2014,7,2437
11,2014,8,2504
12,2014,9,2219
13,2014,10,1666
14,2014,11,822
15,2014,12,715
16,2015,1,560
17,2015,2,291
18,2015,3,965
19,2015,4,1496
20,2015,5,2170
21,2015,6,2306
22,2015,7,3214
23,2015,8,3126
24,2015,9,2602
25,2015,10,1880
26,2015,11,1066
27,2015,12,806
28,2016,1,610
29,2016,2,643
30,2016,3,1047
31,2016,4,1328
32,2016,5,2113
33,2016,6,2663
