,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,10,225
1,2013,11,182
2,2013,12,105
3,2014,1,57
4,2014,2,82
5,2014,3,178
6,2014,4,380
7,2014,5,840
8,2014,6,810
9,2014,7,889
10,2014,8,843
11,2014,9,723
12,2014,10,523
13,2014,11,216
14,2014,12,149
15,2015,1,124
16,2015,2,79
17,2015,3,282
18,2015,4,441
19,2015,5,605
20,2015,6,825
21,2015,7,1190
22,2015,8,1067
23,2015,9,1050
24,2015,10,1004
25,2015,11,660
26,2015,12,411
27,2016,1,428
28,2016,2,481
29,2016,3,572
30,2016,4,668
31,2016,5,888
32,2016,6,935
