,START TIME YEAR,START TIME MONTH,TRIP DURATION
0,2013,6,40.7090785908
1,2013,7,33.2204124399
2,2013,8,29.5920234795
3,2013,9,28.5972789529
4,2013,10,23.7428021701
5,2013,11,21.1098963099
6,2013,12,19.0826960216
7,2014,1,12.8358906526
8,2014,2,12.2761226252
9,2014,3,20.5896273917
10,2014,4,26.4717966792
11,2014,5,25.949671809
12,2014,6,25.7679987424
13,2014,7,25.7483916063
14,2014,8,25.8937880206
15,2014,9,22.6566061962
16,2014,10,23.1339691973
17,2014,11,20.3682960131
18,2014,12,19.2169594753
19,2015,1,15.3514090177
20,2015,2,14.6204410517
21,2015,3,21.2211168385
22,2015,4,23.956221139
23,2015,5,26.152667364
24,2015,6,24.2112977727
25,2015,7,25.8373000271
26,2015,8,25.1693418982
27,2015,9,25.4688944896
28,2015,10,24.3962887439
29,2015,11,21.7757155374
30,2015,12,18.6573590246
31,2016,1,17.9355902778
32,2016,2,21.6555591467
33,2016,3,20.6230385409
34,2016,4,24.8782573748
35,2016,5,27.9008486165
36,2016,6,26.1353105342
